name,price,time
AAPL,224.84,2024-08-26T14:00:00Z
AAPL,226.34,2024-08-26T13:00:00Z
AAPL,226.8,2024-08-23T19:00:00Z
AAPL,226.48,2024-08-23T18:00:00Z
AAPL,226.21,2024-08-23T17:00:00Z
AAPL,225.32,2024-08-23T16:00:00Z
AAPL,225.83,2024-08-23T15:00:00Z
AAPL,226.27,2024-08-23T14:00:00Z
AAPL,227.04,2024-08-23T13:00:00Z
AAPL,224.7,2024-08-22T19:00:00Z
AAPL,224.42,2024-08-22T18:00:00Z
AAPL,224.41,2024-08-22T17:00:00Z
AAPL,225.54,2024-08-22T16:00:00Z
AAPL,225.535,2024-08-22T15:00:00Z
AAPL,226.77,2024-08-22T14:00:00Z
AAPL,227.825,2024-08-22T13:00:00Z
AAPL,226.32,2024-08-21T19:00:00Z
AAPL,226.45,2024-08-21T18:00:00Z
AAPL,226.21,2024-08-21T17:00:00Z
AAPL,226.445,2024-08-21T16:00:00Z
AAPL,226.22,2024-08-21T15:00:00Z
AAPL,226.36,2024-08-21T14:00:00Z
AAPL,227.035,2024-08-21T13:00:00Z
AAPL,226.53,2024-08-20T19:00:00Z
AAPL,226.55,2024-08-20T18:00:00Z
AAPL,226.765,2024-08-20T17:00:00Z
AAPL,226.5,2024-08-20T16:00:00Z
AAPL,226.93,2024-08-20T15:00:00Z
AAPL,225.96,2024-08-20T14:00:00Z
AAPL,227.01,2024-08-20T13:00:00Z
MSFT,435.42,2024-09-20T19:00:00Z
MSFT,436.06,2024-09-20T18:00:00Z
MSFT,436.895,2024-09-20T17:00:00Z
MSFT,437.29,2024-09-20T16:00:00Z
MSFT,435.88,2024-09-20T15:00:00Z
MSFT,435.18,2024-09-20T14:00:00Z
MSFT,436.74,2024-09-20T13:00:00Z
MSFT,438.68,2024-09-19T19:00:00Z
MSFT,439.51,2024-09-19T18:00:00Z
MSFT,439.35,2024-09-19T17:00:00Z
MSFT,438.5,2024-09-19T16:00:00Z
MSFT,438.92,2024-09-19T15:00:00Z
MSFT,438.23,2024-09-19T14:00:00Z
MSFT,437.1,2024-09-19T13:00:00Z
MSFT,430.76,2024-09-18T19:00:00Z
MSFT,433.13,2024-09-18T18:00:00Z
MSFT,432.43,2024-09-18T17:00:00Z
MSFT,432.53,2024-09-18T16:00:00Z
MSFT,430.89,2024-09-18T15:00:00Z
MSFT,431.93,2024-09-18T14:00:00Z
MSFT,432.4,2024-09-18T13:00:00Z
MSFT,435.17,2024-09-17T19:00:00Z
MSFT,434.69,2024-09-17T18:00:00Z
MSFT,435.22,2024-09-17T17:00:00Z
MSFT,433.885,2024-09-17T16:00:00Z
MSFT,435.97,2024-09-17T15:00:00Z
MSFT,436.82,2024-09-17T14:00:00Z
MSFT,439.25,2024-09-17T13:00:00Z
MSFT,431.46,2024-09-16T19:00:00Z
MSFT,430.75,2024-09-16T18:00:00Z
MSFT,431.63,2024-09-16T17:00:00Z
MSFT,429.81,2024-09-16T16:00:00Z
MSFT,429.98,2024-09-16T15:00:00Z
MSFT,429.655,2024-09-16T14:00:00Z
MSFT,432.08,2024-09-16T13:00:00Z
MSFT,430.61,2024-09-13T19:00:00Z
MSFT,430.28,2024-09-13T18:00:00Z
MSFT,431.21,2024-09-13T17:00:00Z
MSFT,430.29,2024-09-13T16:00:00Z
MSFT,429.06,2024-09-13T15:00:00Z
MSFT,428.365,2024-09-13T14:00:00Z
MSFT,426.9,2024-09-13T13:00:00Z
MSFT,427,2024-09-12T19:00:00Z
MSFT,426.38,2024-09-12T18:00:00Z
MSFT,425.84,2024-09-12T17:00:00Z
MSFT,422.78,2024-09-12T16:00:00Z
MSFT,419.945,2024-09-12T15:00:00Z
MSFT,420.17,2024-09-12T14:00:00Z
MSFT,420.99,2024-09-12T13:00:00Z
MSFT,422.73,2024-09-11T19:00:00Z
MSFT,420.59,2024-09-11T18:00:00Z
MSFT,418.23,2024-09-11T17:00:00Z
MSFT,415.975,2024-09-11T16:00:00Z
MSFT,413.765,2024-09-11T15:00:00Z
MSFT,410.41,2024-09-11T14:00:00Z
MSFT,415.27,2024-09-11T13:00:00Z
MSFT,414.15,2024-09-10T19:00:00Z
MSFT,412.18,2024-09-10T18:00:00Z
MSFT,412,2024-09-10T17:00:00Z
MSFT,410.84,2024-09-10T16:00:00Z
MSFT,409.85,2024-09-10T15:00:00Z
MSFT,412.635,2024-09-10T14:00:00Z
MSFT,414.33,2024-09-10T13:00:00Z
MSFT,405.71,2024-09-09T19:00:00Z
MSFT,403.395,2024-09-09T18:00:00Z
MSFT,404,2024-09-09T17:00:00Z
MSFT,404.935,2024-09-09T16:00:00Z
MSFT,404.47,2024-09-09T15:00:00Z
MSFT,402.32,2024-09-09T14:00:00Z
MSFT,406.71,2024-09-09T13:00:00Z
MSFT,401.93,2024-09-06T19:00:00Z
MSFT,401.28,2024-09-06T18:00:00Z
